file,time,T2MAX,T2MIN
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-01-31,252.04285106758476,241.87057377136907
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-02-29,253.05318664178242,242.252095271965
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-03-31,258.893743835312,247.255261822604
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-04-30,268.37386126035216,254.73259915296993
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-05-31,274.3781340118029,260.30237522415524
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-06-30,278.6583371591752,264.8860109666502
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-07-31,282.83152562452847,268.3752912495398
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-08-31,280.04074476299405,267.0560291655621
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-09-30,275.96034458388334,262.0751899429672
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-10-31,267.71914666007245,254.16567195649736
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-11-30,261.9468110374194,250.1488809995097
OBS_monthly_T2MAX_1980-01-01-00_1980-12-31-18.nc,1980-12-31,255.56869623473784,244.692520479875
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-01-31,255.04667223441538,242.51002047116364
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-02-28,257.5892837398802,245.058132539244
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-03-31,263.1182065623739,249.86845968677977
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-04-30,270.7830797954257,256.9958508966962
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-05-31,271.76413032678056,259.0495674814636
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-06-30,278.0717921828221,265.45337533603856
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-07-31,280.0291360951203,267.8358145903911
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-08-31,278.54175231882056,266.3013314084763
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-09-30,275.14963246815614,261.22924398610104
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-10-31,267.2616365333873,255.50259625368216
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-11-30,262.7264035858403,251.1134875667577
OBS_monthly_T2MAX_1981-01-01-00_1981-12-31-18.nc,1981-12-31,253.60085920110188,243.7293155469008
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-01-31,248.79326153085157,236.62729208914246
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-02-28,253.72435326472925,242.17849510660784
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-03-31,260.0699040801807,248.69196062855158
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-04-30,265.9156308970019,252.74212065877785
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-05-31,273.46479724483294,261.6005493258534
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-06-30,275.1472527788746,262.80445220919484
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-07-31,280.3735758976358,267.71035506066175
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-08-31,278.7552963247944,266.19913781308134
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-09-30,274.0615206463327,261.512846157928
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-10-31,268.665539909634,256.0001139112994
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-11-30,259.51669524174457,248.89500667514525
OBS_monthly_T2MAX_1982-01-01-00_1982-12-31-18.nc,1982-12-31,256.36971303658635,246.78340843507132
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-01-31,254.20432484028106,245.03777979823025
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-02-28,257.23662999859386,247.36752818375248
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-03-31,259.73060192830934,250.35807145467894
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-04-30,263.99982974675504,253.0104088291195
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-05-31,270.7604860335757,258.0440292620849
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-06-30,277.32863604693216,264.6304493095472
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-07-31,281.94642628284834,268.57592682781274
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-08-31,282.8230458377893,268.6823252536556
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-09-30,275.9639439474085,261.89064478776146
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-10-31,268.522108713023,256.63139652515184
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-11-30,259.98714886782363,250.75729829100882
OBS_monthly_T2MAX_1983-01-01-00_1983-12-31-18.nc,1983-12-31,246.48388717608177,237.30071475680623
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-01-31,251.95047362036732,241.39742821593347
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-02-29,258.5011102452025,247.60056496430377
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-03-31,257.4640017765001,247.33703495018355
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-04-30,265.8672152484248,254.53253228969
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-05-31,272.26805860058397,259.18794662826434
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-06-30,278.03940248536196,265.6653387042171
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-07-31,280.23035336679726,266.6818778240578
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-08-31,280.9689325917802,266.9559484322077
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-09-30,273.37464155700036,260.07167395789236
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-10-31,268.1244387088537,257.13676636653133
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-11-30,260.8799034364105,249.44194480980485
OBS_monthly_T2MAX_1984-01-01-00_1984-12-31-18.nc,1984-12-31,255.02345147371625,244.188659767359
OBS_monthly_T2MAX_1985-01-01-00_1985-12-31-18.nc,1985-01-31,249.9813826324596,239.12724125998807
OBS_monthly_T2MAX_1985-01-01-00_1985-12-31-18.nc,1985-02-28,253.46209879717935,242.1884047914411
OBS_monthly_T2MAX_1985-01-01-00_1985-12-31-18.nc,1985-03-31,262.5239888606543,250.6632317471612
OBS_monthly_T2MAX_1985-01-01-00_1985-12-31-18.nc,1985-04-30,270.2220440331923,256.776095357638
OBS_monthly_T2MAX_1985-01-01-00_1985-12-31-18.nc,1985-05-31,274.7707289037219,261.2891437759295
OBS_monthly_T2MAX_1985-01-01-00_1985-12-31-18.nc,1985-06-30,276.3969738529906,263.3188163211491
OBS_monthly_T2MAX_1985-01-01-00_1985-12-31-18.nc,1985-07-31,280.4766984485312,266.8067631989095
OBS_monthly_T2MAX_1985-01-01-00_1985-12-31-18.nc,1985-08-31,277.8121399554915,265.4099694541467
OBS_monthly_T2MAX_1985-01-01-00_1985-12-31-18.nc,1985-09-30,272.8176702816447,261.4472457980683
