file,start_month,lead_time,time,number,T2MAX,T2MIN
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,0,271.89972,261.69116
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,1,269.85648,260.008
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,2,272.73193,263.242
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,3,268.73245,259.82422
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,4,268.75348,258.57007
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,5,267.28625,258.41183
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,6,270.6434,261.09787
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,7,269.40015,260.45505
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,8,268.49194,258.62598
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,9,269.52795,260.5381
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,10,270.80634,261.8861
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,11,270.07007,260.9058
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,12,271.63547,262.61276
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,13,269.93674,260.21906
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,14,267.57285,257.3756
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,15,266.72165,257.1626
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,16,271.21948,261.98727
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,17,271.40683,262.2984
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,18,270.5743,260.80765
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,19,268.8558,259.17676
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,20,270.57373,260.86166
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,21,266.62366,257.1626
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,22,268.0694,258.46893
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,23,275.50568,266.0625
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,24,267.5218,258.587
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,25,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,26,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,27,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,28,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,29,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,30,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,31,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,32,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,33,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,34,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,35,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,36,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,37,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,38,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,39,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,40,,
ecmwf_year-1993_month-01_sfc.nc,1,0,1993-02-01,41,,
