init_month,lead,p33,p50,p66
1,1,-0.06943028961076442,0.02447538825936309,0.13810009976922727
1,2,-0.04772622729997493,0.05048870133630741,0.19238590437259975
1,3,-0.0632988968701916,0.03315290645542319,0.08853278673310296
1,4,-0.020789593108341633,0.09608552074208808,0.1983821723893273
1,5,0.009900763873617624,0.09051158740827651,0.19859139736820622
1,6,-0.14539330196143324,-0.054241969291587734,0.09733297406897702
2,1,0.0809127225951132,0.17615645451150194,0.21954038888761948
2,2,-0.24532131602745594,-0.11261673118008642,0.003412006465579856
2,3,-0.0790684647105585,0.04382511740570667,0.13548355202934104
2,4,0.0491521308187291,0.1251852229555431,0.22897238205267056
2,5,-0.0246541157357358,0.09981122267467363,0.15013975650493697
2,6,-0.06941633125763037,0.021111997521845855,0.12137527175824353
3,1,-0.06942557537333685,0.047121002860410086,0.14405829274293896
3,2,-0.06687021001344162,0.09666323093354154,0.15948642563375762
3,3,0.06742976673322956,0.18946996034132899,0.2868663271649347
3,4,-0.10650693721421961,0.007813839664796443,0.13089886320855063
3,5,-0.088142415935678,0.016409769076856286,0.1064293141377
3,6,-0.08489744218269749,0.04339034027281642,0.15699690727278154
4,1,-0.32616430863159485,-0.1304883545859604,-0.02253711509353655
4,2,-0.027235222652889135,0.07410869519320075,0.20881314222818712
4,3,-0.01809011630910283,0.04484194357645077,0.1483059533097487
4,4,-0.08972025684571601,0.01593481712151043,0.17598332361906513
4,5,-0.01982267423270117,0.08987209731864429,0.21801759213878188
4,6,-0.008702058486497242,0.09442203170546941,0.19533561662640928
5,1,0.04516240857764393,0.3569243702520643,0.518575912221166
5,2,0.024574959374444975,0.11419903050199785,0.18214682644556462
5,3,-0.09091721077638246,0.04621515332393158,0.20914290360103752
5,4,-0.022566740564624533,0.039450581439543005,0.1361569788761233
5,5,-0.06704125663690635,0.074241677491527,0.18745004820783465
5,6,-0.0779463066096528,-0.01687973501431404,0.06593514153661861
6,1,0.020584468029518924,0.15927030438296094,0.29408676346989426
6,2,-0.07566722544826915,0.006347941945939019,0.05466872867058245
6,3,-0.1573932620449054,-0.023277586254427326,0.15734058430609757
6,4,-0.08012878474552355,0.061678679400352446,0.11110306218128889
6,5,0.004968211375838094,0.13813236935186005,0.2605265578825211
6,6,-0.09428620281925831,0.025422994714307163,0.13758408107435957
7,1,-0.07947343523455874,-0.027737959543526043,0.10319434067728205
7,2,-0.1325360907548482,0.04548422833044342,0.1415223093291878
7,3,-0.08608235087678012,0.011102223734934575,0.1296779968833181
7,4,-0.004860463735820466,0.07416696163365782,0.19228077071986527
7,5,-0.13396398632186013,0.009237868953501555,0.10592440772922714
7,6,-0.13285345341215807,0.04678808109529931,0.11271486650142878
8,1,-0.1289273608554845,-0.0771446954205681,0.008836832996114421
8,2,0.000807232889615702,0.097808858241181,0.19544442959902497
8,3,-0.041138415385277335,0.11066097380702497,0.18497601254760448
8,4,-0.10289604957070615,-0.006973278159012063,0.10651775946350019
8,5,0.07056978584667759,0.1397076365026075,0.19215436285619802
8,6,-0.10971510670701407,0.027763697057260565,0.15363509963853336
9,1,0.16626495459669044,0.21402481300149537,0.3473176672127897
9,2,0.014795783931326724,0.15380436099117853,0.23952560056329725
9,3,-0.15845047456528433,0.01655039325129344,0.1258204085883787
9,4,-0.19907925929384998,-0.10873118987561516,0.014745518966114705
9,5,-0.020152473968234996,0.08959829047186918,0.160642472909362
9,6,-0.11879358544861854,0.044542832745807455,0.15535492365102174
10,1,0.05571481504491053,0.22648777777561455,0.40246871027065645
10,2,-0.031413079626025985,0.05106026600588399,0.18912537441216828
10,3,-0.0724546825382753,0.029861412926188387,0.1473374579946102
10,4,-0.09595395641133114,-0.020546974661661086,0.10209557434691932
10,5,-0.03542758683061188,0.18436974421831012,0.28342192965784063
10,6,-0.06388845044014022,0.05260449640226968,0.23345986622419554
11,1,-0.01011043935252151,0.0804459467844548,0.15106276991516887
11,2,-0.017740867305957808,0.025446593227414726,0.0988815277180224
11,3,-0.09865059945138947,-0.028241458308239344,0.09150483994190704
11,4,-0.013943125728259415,0.10058370186163823,0.16141128948138642
11,5,-0.11923670720783622,-0.021135738605584316,0.06481374738131952
11,6,-0.22019092508913335,0.01714913971574333,0.11565772028685842
12,1,0.260340633650344,0.32919627271705365,0.42517521117122936
12,2,-0.16222415885459718,-0.040711554857672465,0.12473011639241408
12,3,-0.0318639112419391,0.1177671259736297,0.16757327701061475
12,4,-0.11703183362048905,0.03852877510537012,0.134184772507996
12,5,-0.10960704671004046,0.01151979250617091,0.09808644896950533
12,6,-0.08394600005065088,0.078831668804981,0.19914998624312472
