start_month,lead_time,variable,p33,p50,p66
1,0,T2MAX,-0.2976824957588974,-0.13865697631918592,-0.0070988772130405305
1,0,T2MIN,0.026460772990582755,0.08917923778406103,0.17390493992572026
1,1,T2MAX,-0.3637151305414881,-0.0966991245786047,0.2523702170234648
1,1,T2MIN,-0.47464010931951006,-0.1659264497000935,0.13342478045771444
1,2,T2MAX,-0.17675449330924697,-0.012726427014184034,0.17982787999585428
1,2,T2MIN,-0.17720067147893687,0.18976143716677574,0.34487676802620554
1,3,T2MAX,-0.41737776108667624,-0.1449433189055291,0.08554422216114006
1,3,T2MIN,-0.3502809729599212,-0.07628412092233872,0.20428850959843337
1,4,T2MAX,0.04012808116438826,0.21789438594875304,0.3979684109555261
1,4,T2MIN,-0.00861591841283487,0.3146255920026011,0.4959031816205271
1,5,T2MAX,-0.20836143602773408,0.08229029803858759,0.2893280386426533
1,5,T2MIN,-0.14854249521611823,0.06399624717418301,0.24445576024040508
2,0,T2MAX,-0.3304561243484287,-0.1953561844952175,0.03431203669140309
2,0,T2MIN,-0.3259947777310959,-0.10414789738186887,0.026553016244113326
2,1,T2MAX,-0.5405110171509817,-0.3130740047761157,-0.04360772894841327
2,1,T2MIN,-0.4073539585868448,-0.09571988068107665,0.1339004504978665
2,2,T2MAX,-0.2453250231410511,-0.003813626654811476,0.19270724425877325
2,2,T2MIN,-0.31502324837847756,-0.048093958189412436,0.1959590800040975
2,3,T2MAX,-0.05431446968515814,0.0949430897793271,0.39883404634238084
2,3,T2MIN,-0.12489675635592866,0.1285227563755774,0.44984415880956874
2,4,T2MAX,-0.1567383855500023,0.033582277659437824,0.4727873460410733
2,4,T2MIN,-0.1723401167301325,0.0957188835091578,0.30502792423511427
2,5,T2MAX,-0.2437344058544053,0.16907327900171049,0.31645659859826525
2,5,T2MIN,-0.18606474750309526,0.0750815144935253,0.474418134384018
3,0,T2MAX,-0.07899930963138525,0.003709796004366991,0.08934527896952227
3,0,T2MIN,0.011195530293305556,0.11571767590150106,0.2405344781237337
3,1,T2MAX,-0.6075816662357081,-0.37476935352524526,-0.21799081649058602
3,1,T2MIN,-0.6115631054723527,-0.4939129175898563,-0.12107115711177478
3,2,T2MAX,0.021777369437583703,0.24217213638108295,0.41397679497552853
3,2,T2MIN,-0.001930973879898129,0.22001684759571596,0.5187964036176644
3,3,T2MAX,-0.18143040402455352,0.1459209095104143,0.28182965487621464
3,3,T2MIN,-0.36593863652768177,0.043218938062898865,0.20404519996092355
3,4,T2MAX,-0.2411781420399121,0.0209273668995698,0.2930939213994256
3,4,T2MIN,-0.3177638187923256,-0.004305613214777495,0.22170256516981945
3,5,T2MAX,-0.10422700324629497,0.18026165333902938,0.30954555165032166
3,5,T2MIN,-0.20604834434376174,0.0015281428886310567,0.13825215610351696
4,0,T2MAX,-0.4808024486836784,-0.34171171530276473,-0.2542389122770709
4,0,T2MIN,-0.4027789477721294,-0.18379863928774168,-0.10704598891634638
4,1,T2MAX,-0.23989096319357406,-0.05257023893215789,0.14006894018180518
4,1,T2MIN,0.0876550173516927,0.24803329606407162,0.3927109228175101
4,2,T2MAX,-0.12740431196084617,0.11534681626175164,0.33703042620293777
4,2,T2MIN,-0.14658812434414867,0.11754398430470364,0.39007518179822726
4,3,T2MAX,-0.10385351884366556,-0.01635183810599601,0.16260298075980398
4,3,T2MIN,-0.258805035275521,-0.015495654767527308,0.20761257787122492
